ID,Category,Scenario,Tom's Situation,Best Strategy,Key Forms/Elections,Treaty Article(s),Deadline / Trap
1,Residency & Status,"SPT met, claim Closer Connection",Tom meets the U.S. Substantial Presence Test but keeps primary ties to Canada; claims nonresident via Closer Connection.,Track U.S. days; maintain Canadian ties evidence; file Form 8840 on time to preserve nonresident status; keep travel logs.,Form 8840 (Closer Connection); 1040-NR if required,Treaty IV (residency concepts),File 8840 by U.S. return due date (incl. extensions). Missing 8840 can forfeit relief.
2,Residency & Status,Dual-resident uses Treaty Tie‑Breaker,"Tom is resident under both domestic rules; applies treaty tests (home, vital interests, habitual abode) to be resident of one country.","Assemble tie‑breaker facts (home, family, bank, driver’s licence); file Form 8833; align withholding/credits to chosen residence.",Form 8833 (treaty disclosure),Treaty IV (tie‑breaker),Claim on original timely return. Impacts credit eligibility and information reporting.
3,Residency & Status,Dual‑status U.S. filer in move year,Tom moved mid‑year; part‑year U.S. resident (worldwide) and part‑year nonresident (U.S.-source).,Plan move date; separate pre/post‑move income; file dual‑status package with statements; don’t assume standard deduction; coordinate credits.,1040 + 1040‑NR (dual‑status package); possible 8833,,Attach required statements; standard deductions limited for dual‑status.
4,Residency & Status,Ceasing Canadian residency (departure tax),Tom emigrates from Canada; deemed disposition on most assets at FMV; exceptions for certain property.,Inventory assets and FMV before exit; consider deferral (T1244) with security; file T1161/T1243; plan PRE and RRSP/RPP handling.,"T1243 (departure tax), T1161 (list), possible T1244 (deferral)",,Ensure valuations; consider security for deferral; principal residence rules differ.
5,Residency & Status,Becoming Canadian resident mid‑year,Tom establishes significant ties in Canada; reports worldwide income from arrival date; pre‑arrival income not taxed in Canada.,Pin down arrival date; report worldwide income from that date; use foreign tax credits; adjust payroll and benefits to Canadian residency.,T1 General; T2209 (FTC) as needed,Treaty XXIV (elimination of double tax),Track arrival date; split‑year allocations; provincial residency at Dec 31.
6,Employment & Payroll,Canadian resident working for U.S. employer (remote/on‑site),Tom lives in Canada; wages taxed where services performed; state rules may apply if workdays in U.S. or convenience rules.,Track workdays by location; ensure correct Canadian payroll (Reg.102) or NR certification; manage U.S. state exposure; claim FTC in Canada.,T1 with FTC; U.S. W‑2/1040‑NR or state return as applicable,Treaty XV (dependent services),Track workdays by location; watch NY/CA; payroll withholding alignment (Reg.102/NR employer).
7,Self‑Employment & Services,Nonresident performs services in Canada (Reg.105 default),"Tom, a nonresident of Canada, earns fees for services in Canada; default 15% withholding by payer.",Apply for Reg.105 waiver early with contracts/schedules; show no PE; file Canadian return to recover excess withholding; keep books.,Reg.105 withholding; NR4/T4A‑NR by payer; Canadian return to recover excess,Treaty VII/XIV (business/prof. services),Apply for waiver early; prove no PE/fixed base to reduce withholding.
8,Self‑Employment & Services,Permanent Establishment (PE) risk in other country,Tom’s recurring in‑country activities may create a PE; profits attributable to PE are taxable there.,"Limit in‑country functions/authority; use independent agents; avoid fixed place; if PE inevitable, register, track attributable profits, and file.",U.S. 1120‑F/1040‑NR or Canadian T2/T1 as applicable,"Treaty V (PE), VII (business profits)",Mind fixed place/agent tests; manage state nexus; attribute profits properly.
9,Real Estate (U.S.),Canadian owning U.S. rental—elect net basis,Default 30% gross U.S. tax on rent; Tom elects §871(d) to be taxed on net ECI.,Make §871(d) election with first timely 1040‑NR; issue W‑8ECI to agent; keep property books; file required state returns.,1040‑NR; §871(d) election statement; W‑8ECI to agent,,Election must be made/defended; keep expense records; state income tax likely.
10,Real Estate (U.S.),FIRPTA on sale of U.S. property,Buyer withholds 15% of gross unless reduced; Tom files to reconcile actual gain.,File Form 8288‑B early for reduced FIRPTA; collect basis docs; plan closing cash flow; file 1040‑NR to reconcile; mind state tax.,Forms 8288/8288‑A; 8288‑B (withholding certificate); 1040‑NR,Treaty XIII (capital gains),Apply 8288‑B early; consider state withholding; track basis/allocations.
